recipient,transactionId,amount,oldBalance,newBalance,platfom
john,t1,51000,"120,000","171,000",googlepay
alice,t2,25000,"50,000","75,000",phonepe
willam,t3,10000,"50,000","60,000",paytm
cris,t4,25000,"50,000","75,000",googlepay
james,t5,47000,"100,000","147,000",paytm
susan,t6,37000,"80,000","117,000",phonepe
roger,t7,56000,"200,000","256,000",googlepay
michael,t8,60000,"130,000","190,000",paytm
lucy,t9,23000,"54,000","77,000",phonepe
rachel,t10,31000,"70,000","101,000",paytm
oliver,t11,42000,"90,000","132,000",googlepay
lily,t12,20000,"60,000","80,000",phonepe
jack,t13,45000,"110,000","155,000",paytm
nina,t14,52000,"150,000","202,000",googlepay
robert,t15,58000,"130,000","188,000",phonepe
grace,t16,65000,"170,000","235,000",paytm
nancy,t17,33000,"89,000","122,000",googlepay
will,t18,46000,"94,000","140,000",phonepe
george,t19,51000,"105,000","156,000",paytm
sophia,t20,23000,"62,000","85,000",googlepay
tom,t21,33000,"82,000","115,000",phonepe
victor,t22,50000,"150,000","200,000",paytm
david,t23,35000,"75,000","110,000",googlepay
ella,t24,42000,"91,000","133,000",phonepe
mary,t25,62000,"200,000","262,000",paytm
sandra,t26,47000,"145,000","192,000",googlepay
patricia,t27,51000,"130,000","181,000",phonepe
charles,t28,35000,"95,000","130,000",paytm
linda,t29,62000,"155,000","217,000",googlepay
emily,t30,27000,"70,000","97,000",phonepe
paul,t31,43000,"115,000","158,000",paytm
elizabeth,t32,56000,"140,000","196,000",googlepay
henry,t33,49000,"120,000","169,000",phonepe
betty,t34,31000,"83,000","114,000",paytm
victoria,t35,42000,"110,000","152,000",googlepay
george,t36,38000,"95,000","133,000",phonepe
maggie,t37,27000,"66,000","93,000",paytm
richard,t38,58000,"150,000","208,000",googlepay
ashley,t39,51000,"125,000","176,000",phonepe
betty,t40,23000,"57,000","80,000",paytm
greg,t41,34000,"90,000","124,000",googlepay
ellen,t42,49000,"110,000","159,000",phonepe
maya,t43,28000,"76,000","104,000",paytm
blake,t44,46000,"120,000","166,000",googlepay
brian,t45,37000,"100,000","137,000",phonepe
patrick,t46,59000,"140,000","199,000",paytm
christopher,t47,53000,"130,000","183,000",googlepay
lucy,t48,38000,"110,000","148,000",phonepe
william,t49,25000,"75,000","100,000",paytm
olivia,t50,22000,"62,000","84,000",googlepay
john,t1,51000,"120,000","171,000",googlepay
alice,t2,25000,"50,000","75,000",phonepe
willam,t3,10000,"50,000","60,000",paytm
cris,t4,25000,"50,000","75,000",googlepay
james,t5,47000,"100,000","147,000",paytm
susan,t6,37000,"80,000","117,000",phonepe
roger,t7,56000,"200,000","256,000",googlepay
michael,t8,60000,"130,000","190,000",paytm
lucy,t9,23000,"54,000","77,000",phonepe
rachel,t10,31000,"70,000","101,000",paytm
oliver,t11,42000,"90,000","132,000",googlepay
lily,t12,20000,"60,000","80,000",phonepe
jack,t13,45000,"110,000","155,000",paytm
nina,t14,52000,"150,000","202,000",googlepay
robert,t15,58000,"130,000","188,000",phonepe
grace,t16,65000,"170,000","235,000",paytm
nancy,t17,33000,"89,000","122,000",googlepay
will,t18,46000,"94,000","140,000",phonepe
george,t19,51000,"105,000","156,000",paytm
sophia,t20,23000,"62,000","85,000",googlepay
tom,t21,33000,"82,000","115,000",phonepe
victor,t22,50000,"150,000","200,000",paytm
david,t23,35000,"75,000","110,000",googlepay
ella,t24,42000,"91,000","133,000",phonepe
mary,t25,62000,"200,000","262,000",paytm
sandra,t26,47000,"145,000","192,000",googlepay
patricia,t27,51000,"130,000","181,000",phonepe
charles,t28,35000,"95,000","130,000",paytm
linda,t29,62000,"155,000","217,000",googlepay
emily,t30,27000,"70,000","97,000",phonepe
paul,t31,43000,"115,000","158,000",paytm
elizabeth,t32,56000,"140,000","196,000",googlepay
henry,t33,49000,"120,000","169,000",phonepe
betty,t34,31000,"83,000","114,000",paytm
victoria,t35,42000,"110,000","152,000",googlepay
george,t36,38000,"95,000","133,000",phonepe
maggie,t37,27000,"66,000","93,000",paytm
richard,t38,58000,"150,000","208,000",googlepay
ashley,t39,51000,"125,000","176,000",phonepe
betty,t40,23000,"57,000","80,000",paytm
greg,t41,34000,"90,000","124,000",googlepay
ellen,t42,49000,"110,000","159,000",phonepe
maya,t43,28000,"76,000","104,000",paytm
blake,t44,46000,"120,000","166,000",googlepay
brian,t45,37000,"100,000","137,000",phonepe
